Title,Note,URL,Comment
74 Te Kumi Road,,https://www.google.com/maps/place/74+Te+Kumi+Road/data=!4m2!3m1!1s0x6d6cbbb5d436c1eb:0x4bc06944a1eec072,
Waitomo Top 10 Holiday Park,,https://www.google.com/maps/place/Waitomo+Top+10+Holiday+Park/data=!4m2!3m1!1s0x6d6cb77ef3e3547d:0x27ff58cc26fe0c4d,
Kaniwhaniwha Campsite,,https://www.google.com/maps/place/Kaniwhaniwha+Campsite/data=!4m2!3m1!1s0x6d6cd73b67c9c0cd:0xbf09d3a2460a448e,
2803 Kawhia Road,,https://www.google.com/maps/place/2803+Kawhia+Road/data=!4m2!3m1!1s0x6d6cce6766e5e57f:0xff17f78f729b0c85,
Tiritiri Matangi Island,,https://www.google.com/maps/place/Tiritiri+Matangi+Island/data=!4m2!3m1!1s0x6d0d2c65a1366449:0xf00ef62249c00f0,
44 Waitete Road,,https://www.google.com/maps/place/44+Waitete+Road/data=!4m2!3m1!1s0x6d6cbb9c4bf544e3:0x75dccd67f446aea0,
The Village Cafe,,https://www.google.com/maps/place/The+Village+Cafe/data=!4m2!3m1!1s0x6d6d26822c079ab7:0x96fedb98aaa01e1c,
Phat Pattie - The Burger Shop,,https://www.google.com/maps/place/Phat+Pattie+-+The+Burger+Shop/data=!4m2!3m1!1s0x6d6d3b18fca6d9b9:0xe4d07a3cb097a7aa,
71 Maxted Road,,https://www.google.com/maps/place/71+Maxted+Road/data=!4m2!3m1!1s0x6d72abab4544dda9:0xc4d794727ba9d2d0,
67 Bassett Road,,https://www.google.com/maps/place/67+Bassett+Road/data=!4m2!3m1!1s0x6d0d486fd17c8735:0xd234a9d8edcdcd75,
20 Peridot Place,,https://www.google.com/maps/place/20+Peridot+Place/data=!4m2!3m1!1s0x6d0d52e544990e75:0x87d9f03fe1a7721a,
Ambury Park campground,,https://www.google.com/maps/place/Ambury+Park+campground/data=!4m2!3m1!1s0x6d0d45a0d10e9901:0xd6c6b73e29427309,
Mercer Motel,,https://www.google.com/maps/place/Mercer+Motel/data=!4m2!3m1!1s0x6d6d5725a17ad059:0xbb8ddf06ecef2c55,
National Mini Storage Cook Street,,https://www.google.com/maps/place/National+Mini+Storage+Cook+Street/data=!4m2!3m1!1s0x6d0d47edcf99d98f:0x2fbb9c7e34291461,
Chiasso Coffee Roasters,,https://www.google.com/maps/place/Chiasso+Coffee+Roasters/data=!4m2!3m1!1s0x6d0d37dd2100cabf:0x40df661aee86a920,
35 Hobson Street,,https://www.google.com/maps/place/35+Hobson+Street/data=!4m2!3m1!1s0x6d0d47f0915886ef:0x624496d98488dd4d,
Pack & Send Takapuna,,https://www.google.com/maps/place/Pack+%26+Send+Takapuna/data=!4m2!3m1!1s0x6d0d39d602d41587:0x49746d883663a412,
Long Bay Beach,,https://www.google.com/maps/place/Long+Bay+Beach/data=!4m2!3m1!1s0x6d0d3ac6a309f24d:0xd9e44bfa7341cdf9,
Dropped pin,,"https://www.google.com/maps/search/-36.4282203,174.5967681",
Sheepworld Farm & Café,,https://www.google.com/maps/place/Sheepworld+Farm+%26+Caf%C3%A9/data=!4m2!3m1!1s0x6d0cdc217dbd2da7:0x3de43c98355ef01d,
Wai Ariki Hot Springs & Spa,,https://www.google.com/maps/place/Wai+Ariki+Hot+Springs+%26+Spa/data=!4m2!3m1!1s0x6d6e9d800a5bde23:0x1bc4b94c36abf3a3,
Pakiri Beach Holiday Park,,https://www.google.com/maps/place/Pakiri+Beach+Holiday+Park/data=!4m2!3m1!1s0x6d0cc4306ae481c5:0xdce599be201e7efb,
777 Matakana Valley Road,,https://www.google.com/maps/place/777+Matakana+Valley+Road/data=!4m2!3m1!1s0x6d0cc4a87b035c03:0xdea0d904db8942df,
Dome Forest Walkway,,https://www.google.com/maps/place/Dome+Forest+Walkway/data=!4m2!3m1!1s0x6d0cdd846e8bb669:0x7ed569140aa15e5,
